make,model,fuel,year,kms,power,transmission,price
Opel,Crossland,Gasolina,2022,5,110,manual,22900
Opel,Crossland,Gasolina,2022,24847,110,manual,19990
Opel,Crossland,Diésel,2021,41356,120,automatic,18590
Opel,Crossland,Gasolina,2022,11,110,manual,22700
Opel,Crossland,Gasolina,2022,11,110,manual,22700
Opel,Crossland,Gasolina,2021,51390,110,manual,18200
Opel,Crossland,Gasolina,2021,30536,110,manual,17100
Opel,Crossland,Gasolina,2022,10,130,manual,23800
Opel,Crossland,Gasolina,2022,16,130,manual,22975
Opel,Crossland,Gasolina,2019,40816,83,manual,13490
Opel,Crossland,Gasolina,2019,40816,83,manual,13490
Opel,Crossland,Gasolina,2021,34500,83,manual,14490
Opel,Combo,Diésel,2019,44084,100,manual,16990
Opel,Combo,Diésel,2019,44084,100,manual,16990
Opel,Combo,Diésel,2019,44084,100,manual,16990
Opel,Combo,Diésel,2021,51872,102,manual,25990
Opel,Combo,Diésel,2018,37100,100,manual,10490
Opel,Combo,Diésel,2018,37100,100,manual,10490
Opel,Combo,Diésel,2018,37100,100,manual,10490
Opel,Combo,Diésel,2018,134752,95,manual,11990
Opel,Combo,Diésel,2019,105772,100,manual,16490
Opel,Combo,Diésel,2019,105772,100,manual,16490
Opel,Combo,Diésel,2017,113687,95,manual,13600
Opel,Combo,Diésel,2021,51087,102,manual,21900
Opel,Movano,Diésel,2022,2000,140,manual,29900
Opel,Movano,Diésel,2019,188000,170,automatic,19900
Opel,Movano,Diésel,2019,99995,170,manual,18700
Opel,Movano,Diésel,2018,85000,130,manual,26980
Opel,Movano,Diésel,2015,149500,110,manual,17900
Opel,Movano,Diésel,2019,128000,130,manual,24450
Opel,Movano,Diésel,2018,130075,130,manual,17355
Opel,Cabrio,Gasolina,2016,98017,140,manual,16618
Opel,Cabrio,Gasolina,2017,51441,140,manual,16963
Opel,Cabrio,Gasolina,2015,58444,140,manual,15180
Opel,Cabrio,Gasolina,2015,62703,140,manual,15730
Opel,Cabrio,Gasolina,2016,98017,140,manual,16618
